bim360_account_id,bim360_project_id,relationship_guid,item1_domain,item1_entitytype,item1_id,item2_domain,item2_entitytype,item2_id,created_on,deleted_on,is_deleted,is_service_owned
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,40154987-ee8e-4266-ad9b-1e05a17c487b,autodesk-construction-markup,markup,0bde5dbc-3fbf-4e13-98a8-cff234715dfb,autodesk-bim360-issue,issue,00a8373c-8c20-4fc6-99f2-a43edd499b9d,2025-05-09 05:13:01.194367,2025-06-29 12:00:08.211548,t,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,d66492c5-894b-4a57-8577-4a5e5feffbb6,autodesk-bim360-issue,issue,04e4ab7c-308d-4ffd-ae9a-e3058807e791,autodesk-construction-markup,markupdocument,urn:adsk.wipprod:fs.file:vf.K0rEQEIlSj-d8oOKrdIYxw?version=4,2025-06-29 12:01:02.386464,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,2038f778-6037-4347-b1a1-c3240a97f1f0,autodesk-bim360-issue,issue,04e4ab7c-308d-4ffd-ae9a-e3058807e791,autodesk-construction-markup,markup,14e29201-82ce-4375-bf19-d7d407b5354f,2025-06-29 12:01:02.387806,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,a97fa3ba-6a51-497f-9599-5a89ac03bada,autodesk-bim360-issue,issue,adc8af62-e8a3-4d18-bddf-c087f470c803,autodesk-construction-markup,markupdocument,urn:adsk.wipprod:fs.file:vf.K0rEQEIlSj-d8oOKrdIYxw?version=4,2025-07-14 05:01:44.414664,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,16423f26-8ac5-413a-a8b4-c0b8c77d6e34,autodesk-bim360-issue,issue,adc8af62-e8a3-4d18-bddf-c087f470c803,autodesk-construction-markup,markup,a4e61ee0-ab18-4e05-a60d-89ffd4f5fc82,2025-07-14 05:01:44.420488,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,743c7e33-6c73-4b96-bbfc-d6aab906367e,autodesk-bim360-issue,coordinationother,adc8af62-e8a3-4d18-bddf-c087f470c803,autodesk-bim360-modelcoordination,documentlineage,urn:adsk.wipprod:dm.lineage:K0rEQEIlSj-d8oOKrdIYxw#{3D},2025-07-14 05:01:45.684373,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,ab5bd316-51b3-4e0c-bca9-36166c025415,autodesk-bim360-issue,coordinationother,adc8af62-e8a3-4d18-bddf-c087f470c803,autodesk-bim360-modelcoordination,container,af8b83a7-47eb-4049-9275-c86b659a4b79,2025-07-14 05:01:45.688407,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,68e0f426-335c-49a0-b524-672a2d7769aa,autodesk-bim360-issue,coordinationother,adc8af62-e8a3-4d18-bddf-c087f470c803,autodesk-bim360-modelcoordination,scope,cd2f8c3a-e5be-46d5-8dfd-d6ada2475426,2025-07-14 05:01:45.693217,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,09f6d295-b14f-4a9d-9845-08e4e8d7fbb9,autodesk-bim360-issue,issue,a7656ea1-15f8-4221-8faf-212983ba12ea,autodesk-construction-markup,markupdocument,urn:adsk.wipprod:fs.file:vf.3Bf9b7qmRuCxkzZZvzZoqA?version=1,2025-10-09 05:06:48.406355,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,38a7b943-2dc2-4cc5-bc0c-fb3367fdc714,autodesk-construction-markup,markup,e2d24aa9-3f8f-4b3b-bb8c-fdfb65ef0a1f,autodesk-bim360-issue,issue,a7656ea1-15f8-4221-8faf-212983ba12ea,2025-10-09 05:06:48.410527,,f,t
60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,174e449d-d6b2-439d-9f6f-fc052701e920,autodesk-bim360-modelcoordination,documentlineage,urn:adsk.wipprod:dm.lineage:K0rEQEIlSj-d8oOKrdIYxw#{3D},autodesk-bim360-issue,coordination,a7656ea1-15f8-4221-8faf-212983ba12ea,2025-10-09 05:06:49.380914,,f,t
