id,schedule_id,bim360_account_id,bim360_project_id,source_unique_id,target_unique_id,type,created_at,updated_at
5ead64ed-e503-4d6a-b1e5-3377bd2d9198,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,279,8,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
c76f0518-6591-4b67-b4f1-7c67142d44f6,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,284,12,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
169a8457-e69b-4db0-9b62-fbd362c67de9,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,17,18,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
d9cc1ce7-27ad-46f2-b11f-75a47d045a62,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,32,33,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
9f3cb387-8c23-4493-8058-00b08b30cf22,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,10,11,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
b88f782b-50c7-4f14-b60d-7bd742cdbf66,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,15,16,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
c6bd1bdb-c221-4eec-b63f-fd4fd56d552e,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,27,28,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
772b45a5-766f-4aca-ad27-f3211d97af75,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,146,5,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
8d42e946-1e60-4ef1-9b2e-adcb3627fa36,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,3,277,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
d9813f84-6193-45a7-8c15-42bea7f6d740,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,291,293,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
8ed314c6-8265-4104-99b5-30b2ddc4d517,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,282,10,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
5d90f95c-e134-4566-909d-e13f67c312bc,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,23,25,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
af04c6b2-7b30-4ba7-9190-0a42004396e4,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,278,5,FINISH_START,2024-03-07 00:57:15.409,2024-03-07 00:57:15.409
