id,bim360_account_id,bim360_project_id,uid,feature_bound_uid,feature_bound_type,type,created_by,created_at,updated_by,updated_at,deleted,deleted_by,deleted_at,markup_text
820993322,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,bcc7ed07-079e-4313-b509-261aec5b4698,,,plangrid/boxArrowText,7VZ2Q8PTMR3E7H96,2025-08-26 03:19:13.458654,7VZ2Q8PTMR3E7H96,2025-08-26 03:19:13.458654,f,,,Add text
820994222,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,12aa9143-84f6-4462-9bc3-3c429aabf29b,,,plangrid/boxArrowText,7VZ2Q8PTMR3E7H96,2025-08-26 03:25:22.703665,7VZ2Q8PTMR3E7H96,2025-08-26 03:25:22.703665,f,,,Add text
820995827,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,d1de34f9-e7a4-4305-b14d-27e571adc113,,,plangrid/boxArrowText,7VZ2Q8PTMR3E7H96,2025-08-26 03:32:57.144258,7VZ2Q8PTMR3E7H96,2025-08-26 03:32:57.144258,f,,,Add text
820996000,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,f3bc29b7-f4fa-421f-b39e-028051b52245,,,plangrid/boxArrowText,7VZ2Q8PTMR3E7H96,2025-08-26 03:34:15.145774,7VZ2Q8PTMR3E7H96,2025-08-26 03:34:15.145774,f,,,Add text
820996074,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,6ce10777-1651-45bd-9d18-d12abc70b6f6,,,plangrid/boxArrowText,7VZ2Q8PTMR3E7H96,2025-08-26 03:35:09.368702,7VZ2Q8PTMR3E7H96,2025-08-26 03:35:09.368702,f,,,Add text
820996118,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,024a187f-622c-4f38-b8de-675a5a7b78e5,,,plangrid/boxArrowText,7VZ2Q8PTMR3E7H96,2025-08-26 03:35:33.4472,7VZ2Q8PTMR3E7H96,2025-08-26 03:35:33.4472,f,,,"Add Accessible bathroom: Provide a circulation space of around 2000 mm x 1600 mm to allow wheelchair turning. Door should swing outward or be sliding so it does not obstruct the circulation area and it should provide a clear opening of at least 850 mm with a flush threshold. Install grab rails around the WC and in the shower, with a fold-down shower seat, and leave at least 800 mm clear space beside the toilet for side transfer. Use slip‑resistant flooring and lever tap fixtures.text"
1033188257,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,674d3db6-ecce-44f5-92fd-e58c6ce9da47,,,plangrid/pen,7VZ2Q8PTMR3E7H96,2025-12-04 23:50:54.632018,7VZ2Q8PTMR3E7H96,2025-12-04 23:50:54.632018,f,,,
1033188272,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,fabd916c-0c3c-47df-8e9a-22ca3f4b1c04,,,plangrid/cloud,7VZ2Q8PTMR3E7H96,2025-12-04 23:51:00.174377,7VZ2Q8PTMR3E7H96,2025-12-04 23:51:00.174377,f,,,
1033296047,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,b440d6f0-9ea7-4c6d-9f23-9c60b9b1b81a,,,plangrid/cloud,7VZ2Q8PTMR3E7H96,2025-12-05 04:48:33.831853,7VZ2Q8PTMR3E7H96,2025-12-05 04:48:34.964219,t,7VZ2Q8PTMR3E7H96,2025-12-05 04:48:35.062211,
1154236171,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,319773d9-ea40-4c04-b0ed-b2d3c22e96a2,,,plangrid/cloud,7VZ2Q8PTMR3E7H96,2026-02-10 06:30:03.242102,7VZ2Q8PTMR3E7H96,2026-02-10 06:30:04.138011,t,7VZ2Q8PTMR3E7H96,2026-02-10 06:30:05.040683,
1154236505,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,b8775295-72fa-47f8-a12f-1b0057d83538,d05f2bd3-c911-5610-b4b9-0a894306acc0,photo,plangrid/photoStamp,7VZ2Q8PTMR3E7H96,2026-02-10 06:31:24.58423,7VZ2Q8PTMR3E7H96,2026-02-10 06:31:24.58423,f,,,
1079267848,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,9483a9cf-4c14-4d50-9007-5526d7bf06cf,70c6c25a-4e78-4bed-a64a-00eab9dd52c5,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2025-12-31 09:06:11.546703,7VZ2Q8PTMR3E7H96,2025-12-31 09:09:31.397745,t,7VZ2Q8PTMR3E7H96,2025-12-31 09:09:31.413997,CL
